Time_s,Voltage_V,Current_A,Power_W,SOC_Percent,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
3309.908,3.884,3.298,12.726,37.27,30.00,2289.24,21.34
3316.869,3.884,3.298,12.772,37.40,30.00,2289.23,21.36
3325.809,3.886,3.298,12.772,37.57,30.00,2289.23,21.39
3332.767,3.886,3.298,12.772,37.70,30.00,2289.23,21.41
3339.732,3.889,3.298,12.772,37.83,29.95,2289.22,21.41
3346.693,3.889,3.298,12.772,37.96,29.95,2289.23,21.42
3353.610,3.889,3.298,12.772,38.09,29.95,2289.23,21.43
3360.586,3.891,3.298,12.772,38.22,29.95,2289.25,21.43
3367.524,3.891,3.298,12.772,38.35,30.00,2289.23,21.40
3374.505,3.893,3.298,12.772,38.48,30.05,2289.23,21.41
3383.432,3.893,3.298,12.772,38.65,30.05,2289.23,21.42
3390.390,3.896,3.298,12.772,38.78,30.05,2289.23,21.39
3397.321,3.896,3.298,12.772,38.91,30.00,2289.23,21.35
3404.288,3.896,3.298,12.772,39.04,30.00,2289.23,21.35
3411.204,3.898,3.298,12.772,39.17,30.00,2289.22,21.34
3418.205,3.898,3.298,12.817,39.30,30.00,2289.24,21.34
3425.148,3.900,3.298,12.817,39.43,30.00,2289.23,21.37
3432.083,3.900,3.298,12.817,39.56,30.00,2289.23,21.36
3439.040,3.902,3.298,12.817,39.69,29.95,2289.22,21.34
3446.003,3.902,3.298,12.817,39.82,29.95,2289.22,21.33
3452.961,3.902,3.298,12.817,39.95,29.95,2289.23,21.34
3459.913,3.905,3.298,12.817,40.08,29.95,2289.25,21.32
3899.956,3.854,3.298,12.634,40.08,30.05,2289.21,21.27
3907.490,3.866,3.298,12.680,40.22,29.95,2289.21,21.27
3914.433,3.875,3.298,12.726,40.35,29.95,2289.22,21.26
3921.414,3.882,3.298,12.726,40.48,29.90,2289.21,21.27
3928.346,3.886,3.298,12.772,40.61,29.85,2289.23,21.26
3935.326,3.891,3.298,12.772,40.74,29.85,2289.22,21.25
3942.250,3.896,3.298,12.772,40.87,29.85,2289.21,21.23
3949.195,3.898,3.298,12.772,41.00,29.90,2289.20,21.22
3958.145,3.902,3.298,12.817,41.17,30.00,2289.23,21.24
3966.108,3.905,3.298,12.817,41.31,30.00,2289.22,21.25
3973.066,3.907,3.298,12.817,41.44,30.05,2289.22,21.28
3980.008,3.907,3.298,12.817,41.58,30.05,2289.22,21.31
3986.946,3.909,3.298,12.817,41.71,30.10,2289.23,21.31
3993.946,3.912,3.298,12.817,41.84,30.10,2289.22,21.31
4000.853,3.912,3.298,12.863,41.97,30.10,2289.22,21.29
4007.809,3.914,3.298,12.863,42.10,30.05,2289.21,21.30
4014.747,3.916,3.298,12.863,42.23,30.05,2289.22,21.31
4021.743,3.916,3.298,12.863,42.36,29.95,2289.21,21.30
4028.666,3.918,3.298,12.863,42.49,29.95,2289.23,21.31
4035.633,3.918,3.298,12.863,42.62,29.95,2289.21,21.32
4042.598,3.921,3.298,12.863,42.75,30.00,2289.22,21.33
4049.591,3.921,3.298,12.863,42.88,30.00,2289.23,21.34
4056.503,3.923,3.298,12.863,43.01,30.05,2289.22,21.36
4063.449,3.923,3.298,12.863,43.14,30.05,2289.22,21.36
